rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
117,TSV Bayer 04 Leverkusen 3,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
118,TSV Wieblingen Füchse,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
119,TSVE 1890 Bielefeld,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
120,TV Babenhausen,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
121,TV Bad Bergzabern,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
122,TV Langen 2,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
123,Telekom Baskets Bonn 2,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
124,TuS Breckerfeld,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
125,TuS Iserlohn Kangaroos,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
126,TuS Makkabi Frankfurt,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
127,UBC Münster 2,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
128,USC Freiburg,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
129,USC Heidelberg 2,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,13,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
130,Witten Baskets,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
131,vamos! TSG Söflingen,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,14,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
132,MTV Kronberg 1,Hessen,Hessen,6,Oberliga,Oberliga Herren,54626,1,1,1,0,0,91,48,43,2,2.0,,basketball-bund.net
133,TSV Krofdorf/Gleiberg 1,Hessen,Hessen,6,Oberliga,Oberliga Herren,54626,2,1,1,0,0,93,80,13,2,2.0,,basketball-bund.net
134,TG  Hanau 1,Hessen,Hessen,6,Oberliga,Oberliga Herren,54626,3,1,1,0,0,91,79,12,2,2.0,,basketball-bund.net
135,MTV Gifhorn,Niedersachsen,Niedersachsen,6,Oberliga,Oberliga Herren Ost,54136,1,1,1,0,0,80,75,5,2,2.0,,basketball-bund.net
136,1. BV Gera 66,Thüringen,Thüringen,6,Oberliga,Oberliga Herren (Vorrunde),54718,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
137,1. FC Kaiserslautern 2,Rheinland-Pfalz,Rheinland-Pfalz,6,Oberliga,Oberliga Rheinland-Pfalz/Saar Herren,52893,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
138,1. SC Norderstedt,Schleswig-Holstein,Schleswig-Holstein,6,Oberliga,HOL,53844,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
139,1. SSV Saalfeld,Thüringen,Thüringen,6,Oberliga,Oberliga Herren (Vorrunde),54718,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
140,ACT Kassel 2,Hessen,Hessen,6,Oberliga,Oberliga Herren,54626,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
141,ALBA Berlin 3,Berlin,Berlin,6,Oberliga,Herren Oberliga A,55040,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
142,ATSV Saarbrücken I,Rheinland-Pfalz,Rheinland-Pfalz,6,Oberliga,Oberliga Rheinland-Pfalz/Saar Herren,52893,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
143,BASS Südwest 1,Berlin,Berlin,6,Oberliga,Herren Oberliga A,55040,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
