rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
79,HF Untere SAAR 2,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,5,0,0,0,0,0,0,0,0,0.0,,handball.net
80,HSC Schweich,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,3,0,0,0,0,0,0,0,0,0.0,,handball.net
81,HSG Bergedorf/Vm,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,3,0,0,0,0,0,0,0,0,0.0,,handball.net
82,HSG EURO,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 1,12651,1,0,0,0,0,0,0,0,0,0.0,,handball.net
83,HSG Fockbek/Nübbel/Alt Duvenstedt,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,4,0,0,0,0,0,0,0,0,0.0,,handball.net
84,HSG Hiesfeld/Aldenrade,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 1,12910,4,0,0,0,0,0,0,0,0,0.0,,handball.net
85,HSG Hohenlimburg,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,6,0,0,0,0,0,0,0,0,0.0,,handball.net
86,HSG Holsteinische Schweiz,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,5,0,0,0,0,0,0,0,0,0.0,,handball.net
87,HSG Hunsrück II,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,4,0,0,0,0,0,0,0,0,0.0,,handball.net
88,HSG Kastellaun-Simmern,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,5,0,0,0,0,0,0,0,0,0.0,,handball.net
89,HSG Kremperheide/Münsterdorf,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,6,0,0,0,0,0,0,0,0,0.0,,handball.net
90,HSG Langenhessen/Crimmitschau,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,3,0,0,0,0,0,0,0,0,0.0,,handball.net
