rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1890,Rot-Weiß Lintorf (9er),Niederrhein,Kreis Düsseldorf,7,Kreisliga A,Frauen-Kreisliga Gruppe 1 · Kreis Düsseldorf,031FU6U64C00000FVS5489BUVSJ4CRAP-G,7,1,1,0,0,3,2,1,3,3.0,,fussball.de
1891,SG WO / Bernberg,Mittelrhein,Kreis Berg,7,Kreisliga A,Kreisliga A · Kreis Berg,031FMBGCLK000004VS5489BTVUS470OH-G,5,1,1,0,0,3,2,1,3,3.0,,fussball.de
1892,SSG Rot-Schwarz Kiel III (7er),Schleswig-Holstein,Kreis Kiel,7,Kreisklasse A,Kreisklasse A  Mitte/Ost · Kreis Kiel,031JJ36HR4000004VS5489BTVSRD0UH9-G,1,1,1,0,0,3,2,1,3,3.0,,fussball.de
1893,SpVgg Gerthe 1911,Westfalen,Kreis Bochum,7,Kreisliga A,Frauen Kreisliga A Bochum,0319THQ5EO000004VS5489BUVV628VP4-G,8,1,1,0,0,3,2,1,3,3.0,,fussball.de
1894,TSV Etelsen,Niedersachsen,Kreis Osterholz,7,Kreisliga,Kreisliga Frauen OHZ/VER · Kreis Osterholz,0317IM2VPK000004VS5489BUVSBBVPEU-G,3,1,1,0,0,3,2,1,3,3.0,,fussball.de
1895,TSV Lonnerstadt,Bayern,Bezirk Mittelfranken,7,Bezirksliga,Frauen BZL Nord · Bezirk Mittelfranken,031FCGP6VO000007VS5489BUVSJ4CRAP-G,5,1,1,0,0,3,2,1,3,3.0,,fussball.de
1896,TSV Neu St. Jürgen,Niedersachsen,Kreis Osterholz,7,Kreisliga,Kreisliga Frauen OHZ/VER · Kreis Osterholz,0317IM2VPK000004VS5489BUVSBBVPEU-G,4,1,1,0,0,3,2,1,3,3.0,,fussball.de
1897,(SG ) Hiltpoltsteiner SV 1949/ TSV 09 Gräfenberg,Bayern,Bezirk Mittelfranken,7,Bezirksliga,Frauen BZL Nord · Bezirk Mittelfranken,031FCGP6VO000007VS5489BUVSJ4CRAP-G,6,1,1,0,0,2,1,1,3,3.0,,fussball.de
1898,(SG) SC Thalkirchdorf/TSV Stiefenhofen,Bayern,Bezirk Schwaben,7,Bezirksliga,Frauen BZL Süd · Bezirk Schwaben,031BE717FS000007VS5489BUVUR5FS5A-G,2,1,1,0,0,2,1,1,3,3.0,,fussball.de
1899,Blau Weiß 98 Gütersloh,Westfalen,Kreis Beckum,7,Kreisliga A,Frauen Kreisliga A Beckum-Gütersloh,031AROBD8G000004VS5489BTVSK8S3O6-G,4,1,1,0,0,2,1,1,3,3.0,,fussball.de
1900,FTSV TuS Ost Bielefeld,Westfalen,Kreis Bielefeld,7,Kreisliga A,Kreisliga A · Kreis Bielefeld,03139CLFSK00000HVS5489BUVSBBVPEU-G,5,1,1,0,0,2,1,1,3,3.0,,fussball.de
1901,Lübeck 1876 1 (7er),Schleswig-Holstein,Kreis Herzogtum Lauenburg,7,Kreisklasse A,Kreisklasse A Süd-Ost · Kreis Herzogtum Lauenburg,031M5A2J94000002VS5489BTVSRD0UH9-G,1,1,1,0,0,2,1,1,3,3.0,,fussball.de
