staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
031COEE52400000CVS5489BTVUS470OH-G,Hessen,Region Gießen / Marburg,6,Gruppenliga,Frauen GL Nord-West · Region Gießen / Marburg,9,8,41,24,SSV Sechshelden,6,fussball.de
031COEI21G000000VS5489BTVUS470OH-G,Hessen,Region Kassel,6,Gruppenliga,Frauen Gruppenliga Nord · Region Kassel,10,16,55,41,SG Flechtdorf-Ittertal,9,fussball.de
031E2AVBQ4000002VS5489BUVUR5FS5A-G,Hessen,Region Wiesbaden,6,Gruppenliga,Frauen Gruppenliga Süd-West · Region Wiesbaden,12,18,107,53,SG Runkel/Brechen/Weyer,10,fussball.de
031AHIHGPO00000AVS5489BUVV628VP4-G,Mecklenburg-Vorpommern,Kreis Warnow,6,Kreisliga,KL Frauen Warnow,6,0,0,0,BSG ScanHaus Marlow/SG Wöpkendorf,0,fussball.de
031DHCTJIS000006VS5489BUVUR5FS5A-G,Mittelrhein,Bezirk Mittelrhein,6,Bezirksliga,"Frauen-Bezirksliga, Staffel 1 · Bezirk Mittelrhein",12,0,0,0,1. FSV Köln 1,0,fussball.de
031DHCTJQ0000006VS5489BUVUR5FS5A-G,Mittelrhein,Bezirk Mittelrhein,6,Bezirksliga,"Frauen-Bezirksliga, Staffel 2 · Bezirk Mittelrhein",12,0,0,0,DJK Südwest Köln 2,0,fussball.de
031DHCTJV0000004VS5489BUVUR5FS5A-G,Mittelrhein,Bezirk Mittelrhein,6,Bezirksliga,"Frauen-Bezirksliga, Staffel 3 · Bezirk Mittelrhein",12,0,0,0,Burtscheider TV 2,0,fussball.de
031EF19OVG00000GVS5489BUVUR5FS5A-G,Niederrhein,Bezirk Niederrhein,6,Bezirksliga,Bezirksliga Gruppe 1 · Bezirk Niederrhein,14,14,75,42,SG Kaarst II.,6,fussball.de
031EF19P7O00000FVS5489BUVUR5FS5A-G,Niederrhein,Bezirk Niederrhein,6,Bezirksliga,Bezirksliga Gruppe 2 · Bezirk Niederrhein,14,14,58,40,SV Rot-Weiß Venn,6,fussball.de
031EF19PEK000007VS5489BUVUR5FS5A-G,Niederrhein,Bezirk Niederrhein,6,Bezirksliga,Bezirksliga Gruppe 3 · Bezirk Niederrhein,14,14,68,40,Eintracht Emmerich,6,fussball.de
031EF19PL800000DVS5489BUVUR5FS5A-G,Niederrhein,Bezirk Niederrhein,6,Bezirksliga,Bezirksliga Gruppe 4 · Bezirk Niederrhein,14,10,50,29,DJK 1928 Vierlinden,6,fussball.de
