rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
96,Oranienburger HC,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,15,3,0,0,3,87,103,-16,0,0.0,,handball.net
97,Handball Club Hamburg II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,16,3,0,0,3,72,91,-19,0,0.0,,handball.net
98,MTV Grossenheidorn,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,15,3,0,0,3,92,117,-25,0,0.0,,handball.net
99,HSG Albstadt,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,16,3,0,0,3,94,120,-26,0,0.0,,handball.net
100,OHV Aurich,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,16,3,0,0,3,78,108,-30,0,0.0,,handball.net
101,HSG Kastellaun/Simmern,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,2,2,2,0,0,74,44,30,4,2.0,,handball.net
102,TSV Ellerbek,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,1,3,3,0,0,118,79,39,6,2.0,,handball.net
103,HSG Ostsee Neustadt/Grömitz,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,4,2,2,0,0,73,50,23,4,2.0,,handball.net
104,THW KIEL II,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,7,1,1,0,0,43,34,9,2,2.0,,handball.net
105,MTV Lübeck,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,2,3,3,0,0,98,75,23,6,2.0,,handball.net
106,HSG Schülp/Westerrönfeld/Rendsburg,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,3,3,3,0,0,75,60,15,6,2.0,,handball.net
107,TSG Altenhagen-Heepen II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,1,2,2,0,0,68,60,8,4,2.0,,handball.net
108,SF Budenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,1,3,3,0,0,88,77,11,6,2.0,,handball.net
109,TSV GWD Minden E.V. II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,2,2,2,0,0,72,65,7,4,2.0,,handball.net
110,LIT 1912 Nordhemmern-Nettelstedt-Mindenerwald-Holzhausen II II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,3,2,2,0,0,58,51,7,4,2.0,,handball.net
111,TUS KL-Dansenberg,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,5,2,2,0,0,59,53,6,4,2.0,,handball.net
112,SG Menden Sauerland Wölfe E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,4,2,1,1,0,64,63,1,3,1.5,,handball.net
113,Allgemeiner Sportverein Hamm-Westfalen E.V. II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,5,2,1,1,0,59,58,1,3,1.5,,handball.net
114,TuS Bommern 1. Herren Regionalliga,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,6,2,1,1,0,58,57,1,3,1.5,,handball.net
115,TSG Haßloch,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,3,3,2,0,1,96,80,16,4,1.33,,handball.net
116,TV Homburg 1,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,4,3,2,0,1,97,89,8,4,1.33,,handball.net
117,Südpfalz Tiger,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,6,3,2,0,1,90,86,4,4,1.33,,handball.net
118,HSG Dudenhofen/Schifferstadt,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,7,3,2,0,1,87,88,-1,4,1.33,,handball.net
119,HSG Holsteinische Schweiz,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,5,3,2,0,1,101,106,-5,4,1.33,,handball.net
120,TSV Hürup,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,6,2,1,0,1,77,57,20,2,1.0,,handball.net
121,SGSH Dragons E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,7,2,1,0,1,73,65,8,2,1.0,,handball.net
122,SG Hamburg-Nord,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,8,2,1,0,1,59,54,5,2,1.0,,handball.net
123,VfL Gladbeck 1921 e.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,8,2,1,0,1,57,53,4,2,1.0,,handball.net
124,TUS Volmetal 1887 E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,9,2,1,0,1,65,64,1,2,1.0,,handball.net
125,SG Zweibrücken,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,8,2,0,2,0,56,56,0,2,1.0,,handball.net
126,TG Osthofen,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,9,3,1,0,2,81,89,-8,2,0.67,,handball.net
127,SG Bordesholm/Brügge,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,9,3,1,0,2,77,87,-10,2,0.67,,handball.net
128,TSG Harsewinkel,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,10,2,0,1,1,65,70,-5,1,0.5,,handball.net
129,HSG Rhein-Nahe Bingen,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,10,2,0,1,1,52,57,-5,1,0.5,,handball.net
